Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8
8,10,10,10,9,9,9,10
10,8,10,8,9,9,10,9
10,10,9,10,9,8,10,10
9,10,10,9,8,9,10,10
9,9,10,8,9,10,9,10
9,10,10,10,8,9,10,8
7,9,8,10,9,9,6,10
9,8,8,9,10,10,9,9
9,9,10,10,9,9,7,9
10,10,9,9,10,10,9,9
8,9,10,10,10,10,9,8
8,10,9,9,10,10,9,9
,,10,9,9,10,10,9
,,9,9,10,9,10,10
,,10,9,9,5,9,10
